FileDate,Type,LeadCV,Area,FileTime,_id,Strength,Name,Location,LeadEdge,
29-Oct-2015,3,4089,335,17:22:48,56328e2f182da77ce66b0106,102,4304_FF1234168_0002.csv,234,12,
29-Oct-2015,3,4058,162,17:22:48,56328e2f182da77ce66b0107,102,4304_FF1234168_0002.csv,2931,5,
29-Oct-2015,3,4089,246,17:22:48,56328e2f182da77ce66b0108,100,4304_FF1234168_0002.csv,238,10,
29-Oct-2015,3,4088,197,17:22:48,56328e2f182da77ce66b0109,100,4304_FF1234168_0002.csv,330,5,
29-Oct-2015,2,4088,196,17:22:48,56328e2f182da77ce66b010a,98,4304_FF1234168_0002.csv,215,13,
29-Oct-2015,2,4089,428,17:22:48,56328e2f182da77ce66b010b,97,4304_FF1234168_0002.csv,338,12,
29-Oct-2015,2,4089,224,17:22:48,56328e2f182da77ce66b010c,96,4304_FF1234168_0002.csv,412,15,
29-Oct-2015,2,4088,318,17:22:48,56328e2f182da77ce66b010d,94,4304_FF1234168_0002.csv,408,14,
29-Oct-2015,2,4088,374,17:22:48,56328e2f182da77ce66b010e,92,4304_FF1234168_0002.csv,432,5,
29-Oct-2015,2,4089,162,17:22:48,56328e2f182da77ce66b010f,91,4304_FF1234168_0002.csv,232,13,
29-Oct-2015,2,4089,342,17:22:48,56328e2f182da77ce66b0110,88,4304_FF1234168_0002.csv,235,12,
29-Oct-2015,2,4058,182,17:22:48,56328e2f182da77ce66b0111,88,4304_FF1234168_0002.csv,2956,19,
29-Oct-2015,2,4088,390,17:22:48,56328e2f182da77ce66b0112,85,4304_FF1234168_0002.csv,287,15,
29-Oct-2015,2,4089,262,17:22:48,56328e2f182da77ce66b0113,84,4304_FF1234168_0002.csv,239,10,
29-Oct-2015,2,4088,215,17:22:48,56328e2f182da77ce66b0114,84,4304_FF1234168_0002.csv,284,15,
29-Oct-2015,2,4089,372,17:22:48,56328e2f182da77ce66b0115,84,4304_FF1234168_0002.csv,297,13,
29-Oct-2015,2,4090,355,17:22:48,56328e2f182da77ce66b0116,84,4304_FF1234168_0002.csv,339,12,
29-Oct-2015,2,4089,356,17:22:48,56328e2f182da77ce66b0117,84,4304_FF1234168_0002.csv,401,12,
29-Oct-2015,2,4087,238,17:22:48,56328e2f182da77ce66b0118,82,4304_FF1234168_0002.csv,293,14,
